PROC_NAME,PRCS_OWNER,USER_COUNT,RUN_COUNT,AVG_RUN_TIME
SJSR057 [SQR-R],SJSU,1,221,39.9
CSUAD118 [SQR-R],CSU,3,495,31.8
SJPER099 [AE],SJSU,1,253,1906.1
SJ_FA_ENT_CO [AE],SJSU,2,363,459.9
TL_ST_LIB [AE],PS,6,347,51.4
SJLCD005 [SQR-R],SJSU,107,1116,69.7
FAPCOR00 [CBL],PS,2,322,13.3
SRAPPT [SQR-R],PS,1,419,24.7
SJCC005 [SQR-R],SJSU,6,344,14.9
MSK_CFG [AE],PS,1,307,16.4
CSUTL010 [SQR-R],CSU,7,261,24.3
SFA_BPKGSEL [AE],PS,1,134,117.5
SJGP005 [SQR-R],SJSU,65,396,25.7
SJHR023 [SQR-R],SJSU,3,95,14.9
CSUBAS02 [SQR-R],CSU,3,96,103.7
SJBAS002 [SQR-R],SJSU,3,96,11.6
CSUTL013 [SQR-R],CSU,6,168,15.3
CSUFA001 [SQR-R],CSU,2,144,202.1
CSUPSRSFTPI1 [AE],CSU,2,18,19.5
SJSR105 [SQR-P],SJSU,2,12,424
EIPSIASG [JOB],PS,2,4,60
SJTF001 [SQR-R],SJSU,12,35,14.5
SJSR098 [SQR-R],SJSU,2,42,122.1
PELLOUT [JOB],PS,2,111,127.6
CSUBAS06 [SQR-R],CSU,1,1,522
GP_PKGCMPRPT [AE],PS,2,3,28
GP_PKG_COPY [AE],PS,2,3,23
CSUCO017 [SQR-R],CSU,1,31,14.1
CSU_AUTOENR2 [AE],CSU,3,90,11
CSUAM001 [SQR-R],CSU,5,40,149.4
PER010 [SQR-R],PS,1,2,29.5
SJSR080 [SQR-R],SJSU,2,33,178.5
SJ_SR_CLASS [AE],SJSU,1,17,11.6
SJUT064 [SQR-R],SJSU,1,15,275.3
HR_MASS_UPD [AE],PS,1,15,252.5
SJBI006 [SQR-R],SJSU,2,16,408.9
SJUT029 [SQR-P],SJSU,2,75,12.7
PER099 [AE],PS,1,1,301
SJCC020 [SQR-R],SJSU,2,6,53
XRFWIN [SQR-R],PS,1,6,10.8
CSU_MCS_ROUT [AE],CSU,1,47,11.8
CSU_MCS_CORR [AE],CSU,1,42,11.6
SJSF033 [SQR-R],SJSU,1,4,15
SJSF093 [SQR-R],SJSU,1,4,62
CSUCO010 [SQR-R],CSU,2,3,13224.3
SJSA006 [SQR-R],SJSU,2,7,11
CSUCO022 [SQR-R],CSU,1,7,14.3
SRSPRMSN [SQR-R],PS,2,30,63.1
SJSR053 [SQR-R],SJSU,1,10,1122.5
CSU_EO_RR [AE],CSU,1,2,73.5
SJCO010 [SQR-R],SJSU,1,14,7287.3
CSUSF009 [SQR-R],CSU,1,1,14
CSUSF008 [SQR-R],CSU,1,1,15
SJSR083 [SQR-P],SJSU,1,2,11
CSU_ERS_FA [AE],CSU,1,5,185.8
SJ_ATG_ROLLD [AE],SJSU,2,3,27.7
SR729--- [CR],PS,1,1,6
CSUAD120_AE [AE],CSU,1,1,12
SJUT071 [SQR-P],SJSU,2,90,1172
CSU_AM_SEC01 [AE],CSU,1,1,68
SJUT032 [SQR-P],SJSU,1,258,592.4
SJSF022 [SQR-R],SJSU,1,730,12.1
SJSR056 [SQR-R],SJSU,3,537,12.1
SJUT043 [SQR-R],SJSU,1,409,68.8
SJSF055 [SQR-R],SJSU,1,304,83.7
FA_OUTBOUND [AE],PS,2,314,11.1
SRPCGGPJ [JOB],PS,2,18,63.6
SJHR006 [SQR-R],SJSU,195,6544,18.1
SJSF066 [SQR-R],SJSU,1,260,22.2
SJUT061 [SQR-P],SJSU,3,731,279.8
SFA_PERK_MPN [AE],PS,1,259,44.6
SFA_COD_IN [AE],PS,4,1170,20.6
CSUCC002 [SQR-R],CSU,1,555,16.7
CCSEVEMF [JOB],PS,1,578,42.9
SJUT053R [SQR-R],SJSU,1,255,12
SJUT002 [SQR-R],SJSU,1,51,120.2
SJAD022 [SQR-R],SJSU,6,821,11.5
FAPBDGTF [CBL],PS,1,55,183.9
SJUT023 [SQR-R],SJSU,2,358,485.7
SJSR054 [SQR-R],SJSU,1,5,14.2
SJLCD003 [SQR-R],SJSU,42,146,89
SF_AP_INTFC [AE],PS,1,507,302.7
PSXP_DIRCLN [AE],PS,1,102,11.6
ADTRNSRC [SQR-R],PS,4,234,17.7
SFPGLINT [CBL],PS,3,691,731.8
FAPPKBKG [CBL],PS,1,122,248.7
SJBAS004 [SQR-R],SJSU,5,272,13.3
CSU_PERM_DEL [AE],CSU,3,203,11.2
SRGRPADV [SQR-R],PS,1,2,52
CSUFA004 [SQR-P],CSU,1,104,13.9
CSU_834_STAT [AE],CSU,2,14,23
FAPDISBS [CBL],PS,2,492,27.8
CSUDELTA [JOB],CSU,2,14,290.1
CSUPSRI [JOB],CSU,2,18,190.6
FA_INBOUND [AE],PS,3,304,26.2
SJ_FA_DBMTCH [AE],SJSU,1,157,17
CSU_MCS_RLD [AE],CSU,1,57,13.3
SJSF070 [SQR-R],SJSU,1,2,14.5
SJSF007 [SQR-R],SJSU,3,63,13.3
SJUT003 [SQR-R],SJSU,1,74,384.6
SJSF039A [SQR-R],SJSU,2,52,12
FAPPLOUT [CBL],PS,2,111,84
SJ_SOTE_FILE [AE],SJSU,1,2,118.5
SJNAMEFX [SQR-R],SJSU,1,12,43.6
CSUAD019 [SQR-R],CSU,1,210,13.6
CSUHR004 [SQR-R],CSU,1,2,48
CSULCD20 [SQR-R],CSU,4,22,379.7
HRMASS [SQR-R],PS,1,26,13.8
CSUBB03A [SQR-R],CSU,3,9,22.3
CSULCD50 [SQR-R],CSU,1,11,2537.8
SJ_APDB_UPD [AE],SJSU,2,70,26.6
SJHR035 [SQR-P],SJSU,2,75,21.6
SJLCD013 [SQR-R],SJSU,1,1,75
SFA_EDIT_MSG [AE],PS,1,91,41.6
CSU_APDB_28 [AE],CSU,2,58,703.1
PER027C [SQR-R],PS,1,2,15
SJUT005 [SQR-R],SJSU,1,2,51.5
SJUT065 [SQR-R],SJSU,1,8,1223.5
CSU_CG_HSCON [AE],CSU,1,3,17.3
CSU_MCS_CHAN [AE],CSU,1,38,11.4
SJSR109 [SQR-P],SJSU,2,14,14.3
SJSR017H [SQR-R],SJSU,1,9,75.9
CSUAD029 [SQR-R],CSU,1,6,180.7
CSUBE013 [SQR-R],CSU,2,5,35.8
SFCPTMFE [SQR-R],PS,1,11,10.9
SFA_EA_STAGE [AE],PS,1,33,16.6
SJ_SB1440 [AE],SJSU,2,2,215
SJSR068A [SQR-P],SJSU,1,1,15
SJCC026 [SQR-P],SJSU,1,8,16.1
SRSTDLST [SQR-R],PS,1,2,1752
SJFA010 [SQR-R],SJSU,1,1,15
CSUFA028 [SQR-R],CSU,1,1,15
SJAD013U [SQR-R],SJSU,1,13,14
SJSF094 [SQR-R],SJSU,1,4,13
FAPINCLC [CBL],PS,1,1,1532
XRFWIN [XML-P],PS,1,1,25
CSUHR022 [SQR-R],CSU,1,1,443
SJCCDRO [SQR-R],SJSU,2,2,5.5
SJHR031 [SQR-P],SJSU,1,8386,14.8
SJUT03 [JOB],SJSU,1,258,231.7
FAPTRMU1 [CBL],PS,2,498,4713.8
CSUFA5PU [SQR-R],CSU,1,43,117.3
SRPCGGPR [CBL],PS,2,18,34.4
SJTF006 [SQR-R],SJSU,70,2820,13.8
CSU_REM_02 [AE],CSU,2,57,675.6
CSUHR001 [SQR-R],CSU,9,3919,15.3
SJSR009 [SQR-R],SJSU,57,638,43.1
PSQUERY [AE],PS,5,95,148
CCSEVSYF [SQR-R],PS,1,597,12.5
POS006 [SQR-R],PS,2,260,80.5
PERS_REFRESH [AE],PS,1,49,1051.8
CSUTL008 [SQR-R],CSU,6,284,27.9
FAPBDGTD [CBL],PS,1,53,103.8
FAPLBOG1 [CBL],PS,6,907,93.1
SJSA001 [SQR-R],SJSU,2,62,21.2
ECIN0001 [SQR-R],PS,4,258,82.1
SJUT035 [SQR-R],SJSU,1,103,14
CCSEVCMP [SQR-R],PS,1,309,605.5
SJHR015 [SQR-R],SJSU,43,221,16.6
PSPBARUN [CBL],PS,3,212,105.9
